Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
MO Technologies,https://www.crunchbase.com/organization/mo-tecnologias-llc,For Profit,Private,Pre-Seed,"Consumer Lending, Credit, Financial Services, FinTech, Information Technology, Payments","We are moving technology forward for an inclusive, digital, and seamless financing. Our modular products include a digital lending platform, alternative scoring and analysis models, and complementary data so that our clients make better decisions.","Bogotá, Distrito Especial, Colombia",101-250,Active,6515697,USD,6515697,1000000,USD,1000000,2020-06-24,info@wearemo.com
Optasia,https://www.crunchbase.com/organization/optasia,For Profit,Private,Seed,"Credit, Financial Services, FinTech, Mobile Payments","Optasia is a financial technology company. They develop airtime credit and mobile value-added services for mobile operators and financial institutions. They also provide financial solutions that utilize proprietary analytics tools, including micro cash loans, handset loans, credit services for pre-paid utilities, dynamic feed trends, big data analytics, and other related services.","Dubai, Dubai, United Arab Emirates",101-250,Active,305181,USD,305181,305181,USD,305181,2022-10-14,info@optasia.com
WALO,https://www.crunchbase.com/organization/walo,For Profit,Private,Seed,"Apps, EdTech, Education, Family, Financial Services, FinTech","WALO is a fintech company focused on empowering parents to teach their kids about money using allowances, behavioral guidance and gamification. Their first product, WALO Plug™ connects to any Canadian bank account and allows parents to automate allowances while seamlessly teaching their kids financial literacy, and preparing them to make smart choices with their money.","Quebec, Quebec, Canada",11-50,Active,1100000,USD,1100000,1100000,USD,1100000,2022-02-28,hello@walo.app
Haruko,https://www.crunchbase.com/organization/haruko,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech","Haruko is an easy-to-use platform that gives institutional investors the levels of visibility, security and compliance they demand when trading digital assets. Founded by a team of Traders and Engineers with experience operating in both tradition and digital assets markets, our vision is to be the go-to interface between institutions and the fast-moving world of the blockchain by leveraging our trading and technical experience to build intuitive, robust and reliable services.","London, England, United Kingdom",1-10,Active,7590000,GBP,10133160,7590000,GBP,10133159,2022-03-03,hello@haruko.io
Musaffa,https://www.crunchbase.com/organization/musaffa,For Profit,Private,Pre-Seed,"Finance, Financial Services, FinTech, Trading Platform","Musaffa is a platform for stock trading, investment, and Islamic finance education that aims to attract investors who want to connect their money with their principles and faith. Their website will not only allow investors to trade Shariah-compliant securities, but it will also function as an Islamic Finance education platform, where investors can learn more about investment principles and how to invest in Shariah-compliant assets such as equities and ETFs. Musaffa is headquartered in Lyndhurst, New Jersey and was founded in 2020.","Lyndhurst, New Jersey, United States",11-50,Active,810000,USD,810000,360000,USD,360000,2022-12-24,dilshod.bek@musaffa.com
Kado,https://www.crunchbase.com/organization/kado-31f0,For Profit,Private,Seed,"Cryptocurrency, Financial Services, FinTech","Kado is developing payment infrastructure for web3 and the future of digital money. It offers consumers and businesses solutions for easier access to and utility of stablecoins. It enables users to convert fiat to cryptocurrency using a variety of payment methods, avoid centralized exchanges, and transfer funds directly to their self-custody wallet.","Boston, Massachusetts, United States",11-50,Active,5400000,USD,5400000,5400000,USD,5400000,2022-03-08,support@kado.money
Klink Finance,https://www.crunchbase.com/organization/klink-a6e6,For Profit,Private,Pre-Seed,"Blockchain, FinTech","Klink Finance is a London-based startup, operating at the intersection of finance- and blockchain technology. Klink implements methods of gamification that enable better and recurring financial habits of its users.","London, England, United Kingdom",1-10,Active,462000,GBP,529401,462000,GBP,529400,2022-10-25,
Lamaa,https://www.crunchbase.com/organization/lamaa,For Profit,Private,Seed,"Finance, Financial Services, FinTech, Intelligent Systems, Small and Medium Businesses, Software","Lamaa develops financial technology solutions to small and medium enterprises. It provides software and online tools that manages banks and tax processes. Lamaa is headquartered in Riyadh, Kingdom of Saudi Arabia.","Riyadh, Ar Riyad, Saudi Arabia",1-10,Active,5500000,USD,5500000,5500000,USD,5500000,2021-12-01,info@lamaa.sa
CoreCare,https://www.crunchbase.com/organization/corecare,For Profit,Private,Seed,"FinTech, Health Care, Payments, Software","CoreCare is a healthcare technology company that makes it easier for skilled nursing facilities (SNFs) to work with Medicaid, Medicare and Managed Care. By unifying eligibility, benefits and electronic health record (EHR) data into one portal, CoreCare automates workflows and sends alerts to SNF employees, ensuring that any task, error or update that can impact revenue is identified and addressed. More than 500 facilities trust CoreCare to achieve faster collections, increased cash flow, and reduced write-offs. We were a member of the Y Combinator S20 Batch, and are backed by an amazing group of investors that include Funders Club, Goat Capital, Liquid2 and Prime Time Partners.","New York, New York, United States",11-50,Active,3125000,USD,3125000,3000000,USD,3000000,2020-10-29,contact@corecare.io
ImaliPay,https://www.crunchbase.com/organization/imalipay,For Profit,Private,Seed,"Financial Services, FinTech",ImaliPay is a financial health platform offering financial products to freelancers and blue collar gig workers in partnership with gig platforms.,"Nairobi, Nairobi Area, Kenya",1-10,Active,3900000,USD,3900000,3000000,USD,3000000,2022-04-07,
Pana,https://www.crunchbase.com/organization/pana-cd34,For Profit,Private,Seed,FinTech,Banking app for 62M Latinos in the US,"Windermere, Florida, United States",1-10,Active,2450000,USD,2450000,1700000,USD,1700000,2022-07-13,hey@getpana.app
Block Earner,https://www.crunchbase.com/organization/block-earner,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech",Block Earner is a blockchain-powered fintech on a mission to provide a user-friendly interface to access the benefits of decentralised finance. We provide better products built on blockchain and help people take control of their money.,"Sydney, New South Wales, Australia",11-50,Active,4500000,USD,4500000,4500000,USD,4500000,2021-12-09,contact@blockearner.com.au
Pangea,https://www.crunchbase.com/organization/hedgedesk,For Profit,Private,Seed,"Artificial Intelligence, FinTech, Machine Learning","Pangea is eliminating currency risk with Ai. HQ: San Diego, CA","San Diego, California, United States",11-50,Active,7000000,USD,7000000,,,,2023-01-01,Aeron@pangea.io
Guac,https://www.crunchbase.com/organization/guac,For Profit,Private,Seed,"Apps, Financial Services, FinTech, Marketplace, Personal Finance","Guac is a saving app designed to help the user to save while spending towards their goals. Guac users set their goals, deadlines when they want to purchase/book that goal and utilize Guac's unique percentage-based save while they spend savings tools to fund each goal. Guac users utilize the Guac marketplace to purchase their goals and receive cashback.","Los Angeles, California, United States",1-10,Active,2301947,USD,2301947,1250000,USD,1250000,2020-09-22,support@guacapp.com
Simply Homes,https://www.crunchbase.com/organization/simply-c03b,For Profit,Private,Pre-Seed,"FinTech, Real Estate, Real Estate Investment","Simply Homes is working to solve the affordable housing crisis by leveraging it's proprietary ML-powered automated sourcing and underwriting platform to identify, value, and acquire homes that need some love, and are ready for their next family - primarily those eligible for HUD's Housing Choice Voucher program.","Portland, Maine, United States",1-10,Active,2500000,USD,2500000,2100000,USD,2100000,2022-01-01,info@simplyhomes.com
VSure.life,https://www.crunchbase.com/organization/vsure-life,For Profit,Private,Seed,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance","ABOUT VSure.life (VSure Tech Sdn Bhd) VSure.life aspires to be the leading South East Asia’s virtual insurer providing On-Demand Lifestyle Protection and to make insurance truly personal, highly relevant and seamlessly integrated to our modern lifestyles. VSure.life is a multi-channel digital platform that offers curated lifestyles insurance protection, unique mutual financial aid protection program and pay-per-use utility based insurance with flexible duration (as short as per hour) and you are free to choose how much you want to pay and be covered for! Making it highly accessible and affordable within your means. VSure.life has passed the Malaysia Central Bank – Bank Negara Malaysia (BNM) Sandbox Stage 1 – eligibility criteria to test OnDemand Lifestyles Protection (OnDemand Sports PA – Flexifit) and now progressing into finalizing Stage 2 – Operationalization and Commercial Live testing. VSure.life has obtained the approval from the Malaysia Central Bank (BNM) as the first OnDemand Lifestyle Digital Insurer under the BNM Fintech Sandbox Framework.","Kuala Lumpur, Kuala Lumpur, Malaysia",11-50,Active,3130000,USD,3130000,3000000,USD,3000000,2021-04-18,info@vsure.life
Hedgehog,https://www.crunchbase.com/organization/hedgehog-3704,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Hedgehog is a portfolio manager and trading application for crypto currencies. With Hedgehog, users can trade on any exchange, track all their wallets, and learn about cryptocurrency.","Los Angeles, California, United States",11-50,Active,1600000,USD,1600000,1600000,USD,1600000,2021-08-24,info@hedgehog.app
Trilo,https://www.crunchbase.com/organization/jointrilo,For Profit,Private,Pre-Seed,"Consumer, FinTech, Mobile Payments, Payments",Trilo is the simplest way for people to pay people,"London, England, United Kingdom",1-10,Active,1300000,GBP,1790193,1000000,GBP,1415598,2021-06-01,hello@trilo.io
Heron Data,https://www.crunchbase.com/organization/heron,For Profit,Private,Seed,"Financial Exchanges, FinTech","We are a software company that categorises and labels bank transaction data. If you think deciphering a transaction on your bank statement is hard for you, it’s way harder for your lender, personal finance manager, or neobank, so we offer an easy service to solve this problem.","London, England, United Kingdom",1-10,Active,1200000,USD,1200000,1200000,USD,1200000,2020-08-25,hello@herondata.io
Lifekey,https://www.crunchbase.com/organization/lifekey,For Profit,Private,Seed,"Consumer Electronics, FinTech, Information Technology, Payments, Software, Wearables","LIFEKEY is a cloud-based super app and wearable device company who's building tech for the post-smartphone era -- a less distracting future with no batteries to charge and no electronics to manage. LIFEKEY on. Phone off. LIFEKEY envisions a future where all personal credentials – from identity to payments – are stored and accessible to you from anywhere. It’s our mission to simplify life, so you can focus on what matters most.","Jackson, Wyoming, United States",1-10,Active,3400000,USD,3400000,2000000,USD,2000000,2023-07-01,hello@lifekey.co
Stream,https://www.crunchbase.com/organization/streamft,For Profit,Private,Pre-Seed,FinTech,"Stream is a fintech company that provides the central communication and automation layer for an organization’s financial tech stack. Their financial operating system, complete with an AP module and payments API, breaks down the costly silos between an organization’s collections, disbursement, and reporting processes by translating data from previously incompatible systems into a single, unified format. With a fully collaborative UI, finance teams can eliminate tedious data entry, automate nuanced workflows, catch discrepancies in real-time, and achieve unparalleled visibility across financial operations – all without having to replace their current tech stack.","Salt Lake City, Utah, United States",1-10,Active,2000000,USD,2000000,2000000,USD,2000000,2022-05-30,hi@streamft.com
Kem App,https://www.crunchbase.com/organization/kem-technologies,For Profit,Private,Pre-Seed,"FinTech, Payments","Kem was started with the idea of achieving a simple goal, to make it easy to send money to your friends. Millions of people in the Gulf were facing this issue, and we built Kem for the purpose of removing the pain from peer-to-peer payments. Today, Kem is the fastest growing payments app in Kuwait & the GCC. Pay anyone instantly, receive everywhere, spend anywhere. Join the thousands already using the Kem app. The Kem App is a financial services platform, not a bank. Banking services are provided by Kem’s bank partner(s). Kem Company for Electronic Payment & Settlement Systems W.L.L is a service of Kem Technologies Holding Ltd.","Kuwait, Al Kuwayt, Kuwait",11-50,Active,1700000,USD,1700000,1000000,USD,1000000,2023-08-31,info@kemkuwait.com
Syncfy,https://www.crunchbase.com/organization/syncfy-e5a4,For Profit,Private,Seed,FinTech,"Syncfy, a subsidiary of Paybook, is Latin America’s leading open finance platform. Through a single API, Syncfy allows customers to access data from 125+ different financial institutions and service providers across 15+ countries in Latin America and internationally. Syncfy also offers an all-in-one solution that enables customers to accept multiple payment methods, including crypto, within their app or platform.","Austin, Texas, United States",11-50,Active,10000000,USD,10000000,10000000,USD,10000000,2022-12-06,
Infima,https://www.crunchbase.com/organization/infima,For Profit,Private,Seed,"Artificial Intelligence, FinTech, Machine Learning, Predictive Analytics","Infima's unique deep learning technologies are transforming mortgage security analytics. Its solutions offer actionable predictive insights into future borrower, security, and market behavior, enabling investors, dealers, and other market participants to make better decisions to drive performance. A dramatic improvement in predictive accuracy vs. legacy solutions delivers superior portfolio construction, security selection, and risk management to portfolio managers, traders, and other mortgage market participants. Infima currently covers more than 525,000 mortgage securities, which are backed by roughly 35 million mortgage loans and represent a total current market value of nearly $11 trillion.","San Mateo, California, United States",11-50,Active,5223820,USD,5223820,5000000,USD,5000000,2022-07-26,info@infima.io
Coincrowd,https://www.crunchbase.com/organization/coincrowd,For Profit,Private,Pre-Seed,"Cryptocurrency, FinTech, Software","Coincrowd is an AI powered social investing platform for crypto that empowers investors decision-making through a combination of AI assisted tools, data & intelligence. The platform provides a framework that helps investors better analyze and take decisions on their portfolios. The platform has one of the most advanced portfolio analytics tools in the market which is uniquely combined with curated data, educational content and intelligence providing users with an easy-to-use framework that even beginner investors can use.","Grand Cayman, Midland, Cayman Islands",11-50,Active,350000,USD,350000,350000,USD,350000,2021-08-01,contact@coincrowd.com
Atani,https://www.crunchbase.com/organization/atani,For Profit,Private,Seed,"Big Data, Blockchain, Cryptocurrency, FinTech","Atani is an innovative all-in-one non-custodial platform designed for crypto traders and investors. The platform enables trade execution, portfolio monitoring and charting across 20+ crypto exchanges through a single interface, all in real time, and for free. Users of the platform also benefit from having an integrated tax-reporting tool, which generates an automatic report for 30+ countries. In addition, Atani features a portfolio aggregator, advanced order types and a trading calculator, as well as a customizable price alerts system. Following a security-first approach, Atani has built a non-custodial desktop platform.","Madrid, Madrid, Spain",11-50,Active,6950000,USD,6950000,6250000,USD,6250000,2021-04-06,hello@atani.com
goDutch,https://www.crunchbase.com/organization/godutch-a6ef,For Profit,Private,Seed,"Apps, FinTech, Payments",goDutch is a digital payments platform that issues cards to help people automatically split group payments.,"Mumbai, Maharashtra, India",11-50,Active,1850000,USD,1850000,1700000,USD,1700000,2020-07-14,support@godutchpay.in
Dots,https://www.crunchbase.com/organization/dots-002d,For Profit,Private,Pre-Seed,"E-Commerce, FinTech, Marketplace, Transaction Processing","Dots is a multichannel payouts API that automates manual processes for marketplaces. Dots' API lets a marketplace pay their sellers in the ways they want to be paid, including Venmo, Paypal, ACH and Zelle. As more Americans earn a living by becoming a 1099 worker, marketplaces need to provide flexible payout options and we make supporting these payouts easy through a single API.","San Francisco, California, United States",1-10,Active,125000,USD,125000,125000,USD,125000,2021-06-15,info@senddots.com
Finerio Connect,https://www.crunchbase.com/organization/finerio,For Profit,Private,Seed,"Apps, Developer APIs, Enterprise Software, Financial Services, FinTech",Finerio is an automated and free personal finance platform in Mexico. Finerio allows users to link debit and credit accounts of the most important banks in Mexico while providing them insights on how to financially plan and save money. ,"Mexico City, Distrito Federal, Mexico",51-100,Active,1770000,USD,1770000,,,,2022-05-01,hola@finerioconnect.com
trica,https://www.crunchbase.com/organization/trica,For Profit,Private,Seed,"Financial Services, FinTech, SaaS, Software","trica is a venture-backed company whose investors include Accel, Lighthouse Canton and Secocha Ventures. The company’s SaaS product trica equity is a cap table and ESOP management software used by 600+ customers from India, USA, Singapore. trica capital is a platform for family offices and UHNIs to back growth stage companies in India. This investor network is 800 strong and the platform has unlocked over $60 million in growth capital for companies like Byju’s, Melorra, Stockal, Webengage, Khatabook, Bobble.ai, Leverage Edu, etc.","Mumbai, Maharashtra, India",1-10,Active,3000000,USD,3000000,3000000,USD,3000000,2021-10-07,syna.dehnugara@trica.co
Wallets,https://www.crunchbase.com/organization/wallets-africa,For Profit,Private,Seed,"Finance, Financial Services, FinTech, Infrastructure, Mobile Payments","Wallets is a digital wallet that issues prepaid cards, bank accounts, and an array of value-added services for consumers and businesses. Its most important feature is the prepaid card which can be used to pay anywhere in the world, they built it in collaboration with a commercial bank in Nigeria and VISA.","Lagos, Lagos, Nigeria",1-10,Active,1564500,USD,1564500,1269500,USD,1269500,2020-06-24,support@wallets.africa
RedSwan CRE,https://www.crunchbase.com/organization/red-swan-cf52,For Profit,Private,Seed,"Blockchain, FinTech, Real Estate","Founded in April 2018, RedSwan CRE is a blockchain-based marketplace that leverages tokenization technology to fractionalize ownership of commercial real estate, making investments more affordable. Sponsors and private investors now have early liquidity options through issuance and tradability of asset-backed digital securities. Drawing on the team's deep expertise in real estate, finance, and technology, RedSwan CRE is providing leading-edge capital market solutions for the global real estate capital markets industry. The marketplace currently has $5B in tokenized assets with an expectation of growing to $25B in the next 36 months.","Houston, Texas, United States",11-50,Active,1200000,USD,1200000,1200000,USD,1200000,2021-09-01,ed@redswan.io
TenureX,https://www.crunchbase.com/organization/tenure,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Payments, Transaction Processing","Tenure is a pioneering technology and enablement service provider for correspondent banking services. It sets out to bring banks and financial institutions together in a collaborative, technology-based, business-oriented fashion.","Tel Aviv, Tel Aviv, Israel",11-50,Active,6000000,USD,6000000,5000000,USD,5000000,2021-08-02,info@tenurex.com
Cryptonator,https://www.crunchbase.com/organization/cryptonator,For Profit,Private,Seed,"Bitcoin, Finance, FinTech, Virtual Currency","Launched in 2014, Cryptonator is an all-in-one online cryptocurrency wallet that supports multiple cryptocurrencies such as Bitcoin (BTC), Litecoin (LTC), Dogecoin (DOGE), and many others. It enables direct transactions and allows instant exchange between different cryptocurrencies in one personal account. It is based in Hong Kong, China.","Wan Chai, Hong Kong Island, Hong Kong",51-100,Active,20000,USD,20000,20000,USD,20000,2014-01-14,support@cryptonator.com
Nevly,https://www.crunchbase.com/organization/nevly,For Profit,Private,Pre-Seed,"Financial Services, FinTech","Nevly is a personal finance fintech platform that is focused on utilizing technology to improve the financial health  of financially underserved consumers and to increase their household net worth. At Nevly, we believe technology can fundamentally improve the financial lives of every single person in the world. Our products are innovative, transformative and progressively structured with our customers in mind. They serve four key needs: credit, everyday banking, payments and wealth management.","Austin, Texas, United States",1-10,Active,1250000,USD,1250000,1250000,USD,1250000,2023-02-09,eric.blue@nevly.com
WeeFin,https://www.crunchbase.com/organization/weefin,For Profit,Private,Seed,"Financial Services, FinTech, Information Technology","WeeFin centralizes ESG data, customizes strategy, and automates reporting processes. Their solutions are ESG connect, hub expertise, and ESG advisory.","Neuilly-sur-seine, Ile-de-France, France",1-10,Active,2000000,EUR,2087423,2000000,EUR,2087423,2022-06-14,contact@weefin.co
Inypay,https://www.crunchbase.com/organization/inypay,For Profit,Private,Pre-Seed,"Financial Services, FinTech","Hyper personalised digital platform tailored to the financial needs of the unbanked and the underserved — blue-collar workers, foreign domestic workers, and micro SMEs — in South East Asia. Financial products and services include micro-lending, remittance, payments, and insurance.","Singapore, Central Region, Singapore",11-50,Active,1000000,USD,1000000,1000000,USD,1000000,2022-09-01,Arivuvel.Ramu@inypay.com
Ascend Homes,https://www.crunchbase.com/organization/ascend-homes,For Profit,Private,Seed,"FinTech, Real Estate Investment",Ascend Homes helps families through the homeownership process. Ascend Homes enable renters to co-invest in the homes they rent and to participate in the financial upside of the home through net rental profits.,"New York, New York, United States",1-10,Active,3700000,USD,3700000,2700000,USD,2700000,2022-08-01,hello@ascendhome.co
Utransfer,https://www.crunchbase.com/organization/utransfer,For Profit,Private,Seed,"Apps, Financial Services, FinTech, Payments",,"Seoul, Seoul-t'ukpyolsi, South Korea",1-10,Active,4000000,USD,4000000,4000000,USD,4000000,2023-07-06,support@utransfer.com
Mala'a Technologies,https://www.crunchbase.com/organization/mala-a-technologies,For Profit,Private,Seed,"Financial Services, FinTech, Mobile Apps, Predictive Analytics","Mala'a Technologies provides a way to manage all financial matters from several bank accounts in one location. It supports tracking costs, keeping an eye on credit, and investing money. Mala'a Technologies enables people to make more informed financial decisions.","Riyadh, Ar Riyad, Saudi Arabia",1-10,Active,6400000,SAR,1705542,6400000,SAR,1705542,2022-03-16,ingo@malaa.tech
Facio,https://www.crunchbase.com/organization/facio-b68a,For Profit,Private,Seed,"Banking, Employee Benefits, Financial Services, FinTech","Facio is a digital platform that facilitates the process of contracting loans for the working class, as well as providing financial education. It acts as a Banking correspondent that  follows the guidelines of Resolution No. 3,954 of February 24, 2011 from the Central Bank of Brazil. It provides 15% increase in productivity in businesses, turnover decrease of up to 36%, and doesn't not charge anything from the company.  It is headquartered in Sao Paulo, Brazil.","São Paulo, Sao Paulo, Brazil",11-50,Active,6500000,USD,6500000,5000000,USD,5000000,2020-11-18,
LumiShare,https://www.crunchbase.com/organization/illumishare-srg,For Profit,Private,Seed,"Blockchain, Cryptocurrency, FinTech","Through a combination of human capital, technology, cash and gold, LumiShare has created a new economic method, driven by blockchain innovation and relying on traditional economics (specifically the US economy until 1971). LumiShare’s asset-backed NFT Marketplace is a financial ecosystem of tokenized real assets (including mines, real estate, agriculture and renewable energy assets) and digital transactions around a community of consumers, investors and businesses. With a vision to bring transparency and trust to the crypto markets, LumiShare has launched the world’s first Trust token, SRG, which is backed up by 3 uncorrelated assets (Gold, Cash and Technology).  LumiShare has also introduced the concept of “Proof of Transparency” including “Proof of Gold” and “Proof of Funds” in line with its vision of being 100% transparent to the world.","Abu Dhabi, Abu Dhabi, United Arab Emirates",51-100,Active,3200000,USD,3200000,3200000,USD,3200000,2022-12-19,social@illumisrg.io
Claro Wellbeing,https://www.crunchbase.com/organization/claro-money,For Profit,Private,Seed,"E-Learning, Financial Services, FinTech, Social Impact","Claro Wellbeing is a digital financial coach that helps and guides people to make smarter financial decisions everyday. Its packages are created and delivered by its in-house expert financial coaches, who have assisted hundreds of people in determining where they are on their financial journey and taking actionable steps to move forward. The company is providing financial wellness to employees through one-on-one coaching, interactive company webinars, and easily accessible educational resources. Claro Wellbeing mission is to provide employees with personalized financial advice to help them feel more confident and supported in their roles, increase engagement and performance, and improve workplace benefits to help retain employees and attract top talent.","London, England, United Kingdom",11-50,Active,7500000,GBP,9567923,2500000,GBP,3382876,2022-01-01,hello@claro.team
Verqor,https://www.crunchbase.com/organization/verqor,For Profit,Private,Seed,"AgTech, Finance, Financial Services, FinTech","Verqor is a platform that disrupts the agricultural sector with finances and technology. We give farmers access to cashless credits that can be used for purchasing supplies and technology, everything through our platform. Verqor uses an alternative data-driven credit scoring criteria, for reaching financial inclusion and technifying the fields.","Coyoacán, Distrito Federal, Mexico",11-50,Active,2625000,USD,2625000,2500000,USD,2500000,2022-06-14,contact@verqor.com
Pay4Me App,https://www.crunchbase.com/organization/pay4me-app,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Higher Education","Pay4Me App simplifies cross-border payments for international students by converting their local currencies in real-time for instant payouts to colleges, universities, and government agencies.","Boise, Idaho, United States",1-10,Active,120000,USD,120000,120000,USD,120000,2022-09-13,support@pay4me.app
Namara,https://www.crunchbase.com/organization/namara,For Profit,Private,Pre-Seed,"Finance, Financial Services, FinTech",Namara develops a unique one of its kind tech based micro lending platform designed to help customer navigate their personal finances.,"Dubai, Dubai, United Arab Emirates",1-10,Active,800000,USD,800000,800000,USD,800000,2022-07-01,
Hashstack,https://www.crunchbase.com/organization/hashstack,For Profit,Private,Seed,"Blockchain, Finance, Financial Services, FinTech","Hashstack provides a permissionless zk-native money market protocol enabling secure under-collateralised loans to the crypto retail. Built on Starknet L2[announcement], Hashstack leverages the capability of zero-knowledge proofs to provide a cost & capital-efficient lending solution. Hashstack scales upon the foundations of incumbent money markets (Compound, Aave, Euler Finance) by addressing the blindspots & grey areas for better-balanced risks, and value-add for the system participants, with composability at its core.  A basic summary of Hashstack's Open is as follows: Developed on the protocol of the same name, through Open, anyone anywhere worldwide can borrow up to three times their collateral, completely permission-less, without the need for trusted 3rd parties. That is, one can borrow up to US$300 with collateral of as little as US$100. This is 328% more loan against the collateral when compared to the incumbent money markets — Compound, Aave, MakerDao. The $300 loan can be spent in two ways. 1. Use the loan in its entirety as trading capital. 2. Withdraw a portion[ up to $70, i.e. up to 70% collateral equivalent] into the borrower’s personal wallet, with the balance of $230 staying within the protocol to be used as trading capital. The ownership of the balance loan remains with the Open, with the borrower having the right to spend. Open integrates dapps of critical novelty across zk L2 & L1s, where the loan can be spent. For, eg, A borrower can trade the $300 loan for equivalent BTC on DyDx on Starknet. Here, the transfer of assets happens on a protocol level between Open & DyDx, while the state change of the loan market is recorded for the borrower. If the trade returns a positive yield, the borrower makes a profit, which is for his to keep. The borrower can repay the debt and exit the transaction with positive returns.","Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis",11-50,Active,1000000,USD,1000000,1000000,USD,1000000,2022-01-01,hello@hashstack.finance
Deal Box,https://www.crunchbase.com/organization/deal-box,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Deal Box empowers entrepreneurs and investors to take advantage of next-generation digital securities issuance and investment. The company is a specialty capital markets consulting firm focusing on traditional and digital securities industries utilizing blockchain-based technologies enhancing capital formation for entrepreneurs, and early ventures to growth-stage companies. Deal Box was founded in 2016 and based in Carlsbad, California.","Carlsbad, California, United States",11-50,Active,1500000,USD,1500000,1500000,USD,1500000,2020-12-07,
Fanaverse,https://www.crunchbase.com/organization/fana-05a5,For Profit,Private,Seed,"Debit Cards, E-Commerce, FinTech, Mobile Payments, Social Impact","Fana is the world’s first and only philanthropic community for mobile native users. We are addressing not only the EASE of giving, but importantly the WHY of giving. We are turning every consumer into a philanthropist and decentralizing the impact of charitable donations. Vision here: http://tinyurl.com/fanaverse","London, England, United Kingdom",11-50,Active,2177000,USD,2177000,1562000,USD,1562000,2023-07-01,team@myfana.com
honesto,https://www.crunchbase.com/organization/honesto,For Profit,Private,Seed,"Banking, Bitcoin, Blockchain, Consulting, Financial Services, FinTech, Mobile Apps, Software, Stock Exchanges, Trading Platform","Our customers will benefit from transparency, accessibility to the global crypto market and the highest possible security thanks to the adaption of Swiss regulatory standards. We will make the everyday use of crypto and tokens approachable, accessible and acceptable to everyone, everywhere. The ease of use as well as the accessibility will encourage investors as well as entrepreneurs to use our platform for finding partners and offering assets. With honesto you don’t need to be a trading-professional to trade nor a software-engineer to use the app.","Adliswil, Zurich, Switzerland",11-50,Active,1000000,CHF,1036339,1000000,CHF,1036339,2020-02-28,mm@honesto.io
Soon,https://www.crunchbase.com/organization/soonapp,For Profit,Private,Pre-Seed,"Banking, Cryptocurrency, Financial Services, FinTech, Information Technology","Soon is a fully automated cryptocurrency investing platform to help users build wealth without the stress of speculating. It puts their hard-earned money to work. Soon achieves this by investing a portion of each deposit and then spending the investment gains when they spend with Soon. Consumers receive an automated wealth engine that eliminates the need to time the market and requires no prior investing experience. The platform increases probability by investing in and tracking hundreds of cryptocurrency positions each month, which are taken daily, at different prices, and across various assets.","Lehi, Utah, United States",11-50,Active,1500000,USD,1500000,500000,USD,500000,2022-02-23,info@soon.app
Home Capital Outlet,https://www.crunchbase.com/organization/home-capital-outlet,For Profit,Private,Seed,"Financial Services, FinTech, Marketplace, Online Portals, Property Development, Real Estate","Home Capital Outlet provides a digital housing outlet that generates savings in money, time, and problems for families. They also provide legal and financial funding and advisory services.","Medellín, Antioquia, Colombia",101-250,Active,5000000,USD,5000000,1000000,USD,1000000,2023-04-15,a.franco@homecapital.com.co
Lorien Finance,https://www.crunchbase.com/organization/lorien-finance,For Profit,Private,Seed,"Banking, Financial Services, FinTech",Lorien Finance is a cross-border FinTech platform providing affordable student loans and retail banking services to immigrants (students and temporary workers) moving to the US.,"New York, New York, United States",1-10,Active,1800000,USD,1800000,1800000,USD,1800000,2023-01-24,hello@lorien.finance
beatvest,https://www.crunchbase.com/organization/beatvest,For Profit,Private,Seed,"Financial Services, FinTech, Personal Finance","beatvest is a platform that offers both educational and financial tools, making it simple to understand investing and finance. By using their platform to learn about investments and financial tools from the ground up, users may become experts at making financial investments.","Munich, Bayern, Germany",1-10,Active,1300000,EUR,1416154,1300000,EUR,1416154,2023-01-26,hello@beatvest.com
MyCointainer,https://www.crunchbase.com/organization/mycointainer,For Profit,Private,Seed,"Blockchain, Cryptocurrency, FinTech","We are a team of technologists, creatives & entrepreneurs with a very strong background in new, emerging cryptoeconomy. We also worked with international clients in the past. As the technology changes rapidly and grows in an exponential rate we believe there’s a tremendous opportunity to create products that fulfill a goal of connecting the communities globally. Both financial licences were obtained by MyCointainer to solidify a commitment to creating an easy, safe and transparent environment for both users and entities.","Tallinn, Harjumaa, Estonia",11-50,Active,6000000,USD,6000000,6000000,USD,6000000,2022-01-26,partnerships@mycointainer.com
