Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Skenariolabs,https://www.crunchbase.com/organization/skenariolabs,Series A,"Construction, FinTech, Internet, Property Management, Real Estate Investment, Smart Building","Skenariolabs is the most curious prophetic real estate analytics company. We help property owners, portfolio managers, banks and insurance companies make more responsible decisions through our objective, transparent and accurate risk and value assessment platform.","Espoo, Southern Finland, Finland",11-50,Active,3434551,USD,3434551,3000000,EUR,3314550,2022-04-01,hello@skenariolabs.com
MAKMUR,https://www.crunchbase.com/organization/makmur,Series A,"Financial Services, FinTech","MAKMUR is a start-up that provides technology-based investment app to help Indonesians plan their financial goals and invest for the long term easily, safely, and sustainably.","Jakarta, Jakarta Raya, Indonesia",11-50,Active,1000000,USD,1000000,1000000,USD,1000000,2022-05-15,
Quipu Bank,https://www.crunchbase.com/organization/quipu-439e,Seed,"Communities, Cryptocurrency, Financial Services, FinTech, Micro Lending","Quipu is building the first digital bank for the informal economy in LATAM. Using proprietary AI algorithms, Quipu assesses informal microbusinesses’ creditworthiness using over 80,000 alternative data points. Quipu leverages this data to provide working capital loans through a local supply chain financing system that allows microbusinesses to buy supplies, ingredients and materials at wholesale price. The company is building an uncollateralized loan protocol to boost their loan operation. Quipu’s goal is to become the one-stop-shop for financial services for micro-businesses in LATAM providing easy, fair and alternative access to working capital.","Bogotá, Distrito Especial, Colombia",11-50,Active,1055000,USD,1055000,750000,USD,750000,2022-05-04,contact@quipubank.com
MyMarkit Inc.,https://www.crunchbase.com/organization/mymarkit,Seed,"Blockchain, Data Mining, FinTech, Retail Technology, SaaS, Supply Chain Management, Virtual Currency","MyMarkit is the first transactional blockchain that mines ledgers directly from live transactions across various points of commerce. With software-as-a-service, blockchain-as-a-service, and platform-as-a-service products that self-propagate ledgers across a real world fintech ecosystem of applications, MyMarkit is able to provide first-of-its-kind solutions for everyday access to blockchain utility. Various products include universal multiprocessors, digital wallets, blockchain marketplaces, blockchain e-commerce, blockchain marketing analytics, universal currency, blockchain automation for fulfillment processes, blockchain authentication/verification, and many other use cases.","Playa Vista, California, United States",11-50,Active,1400000,USD,1400000,1400000,USD,1400000,2022-04-15,info@mymarkit.com
Fanaverse,https://www.crunchbase.com/organization/fana-05a5,Seed,"Debit Cards, E-Commerce, FinTech, Mobile Payments, Social Impact","Fana is the world’s first and only philanthropic community for mobile native users. We are addressing not only the EASE of giving, but importantly the WHY of giving. We are turning every consumer into a philanthropist and decentralizing the impact of charitable donations. Vision here: http://tinyurl.com/fanaverse","London, England, United Kingdom",11-50,Active,2177000,USD,2177000,1562000,USD,1562000,2023-07-01,team@myfana.com
Flowty,https://www.crunchbase.com/organization/flowty,Seed,"Blockchain, Financial Services, FinTech, Information Technology",Flowty is a peer-to-peer (P2P) collateralized NFT lending marketplace that enables borrowers to access liquidity using Flow-based NFTs as collateral and lenders to generate interest income by funding loans secured by NFTs.,"Larchmont, New York, United States",1-10,Active,4500000,USD,4500000,4500000,USD,4500000,2022-04-22,
CurbStand,https://www.crunchbase.com/organization/curbstand,Seed,"Automotive, FinTech, Mobile, Mobile Payments, Parking, Public Transportation, Transportation, Travel","CurbStand is a modern payment and specialty services platform for the valet parking industry. It enables its users to find and pay for parking, and businesses and their valet companies to better manage parking operations. It was launched in 2013 in Santa Monica, California, United States.","West Hollywood, California, United States",11-50,Active,5100000,USD,5100000,600000,USD,600000,2015-12-25,crunchbase@curbstand.com
Fego.ai,https://www.crunchbase.com/organization/fego-ai,Seed,"Artificial Intelligence, Banking, Embedded Software, Finance, Financial Services, FinTech, Natural Language Processing, Personal Finance, Software","Fego is an open finance platform that provides embeddable experiences powered by financial insights when people transact with B2C fintechs and consumer internet companies.  It offers a plug-and-play stack that allows developers/enterprises to embed financial experiences in a bid to personalise end-user's digital journey.  Fego also lets B2C entities (across Consumer Internet, Financial Services and Fintech domains) subscribe to product stack to get access to user's financial data, and also understand their financial behaviour. Fego product stack consists of three modular pieces, namely : (i) Experience Layer - Embeddable Financial Experiences, (ii) Connectivity - Getting access to end-users' financial data with consent & (iii) Insights - Actionable behavioural intelligence extracted from transaction data for potential outcomes Fego works on the motto - “Enabling fintech for India” that changes the way businesses interact with their consumers. It streams and enriches authentic consumer financial data, resolving complex compliance and engineering overheads for businesses. From neobanks and fintechs to consumer internet apps, Fego is unlocking the potential of India’s embedded finance ecosystem for a multitude of industries.","Chennai, Tamil Nadu, India",11-50,Active,1700000,USD,1700000,1500000,USD,1500000,2021-12-09,support@fego.ai
masii,https://www.crunchbase.com/organization/masii,Series A,"Auto Insurance, Financial Services, FinTech, Insurance","Masii offers an online platform that enables its users to compare financial products such as car and travel insurance, credit cards, personal loans, mobile packages, and more. Masii was founded by Max Meyer and Matthias Jurgens in February 2016. It is based in Bangkok, Thailand.","Bang Kapi, Samut Prakan, Thailand",11-50,Active,77000000,THB,2431323,77000000,THB,2431323,2018-02-11,support@masii.co.th
ClickIPO,https://www.crunchbase.com/organization/clickipo,Seed,"Financial Services, FinTech, Retail, Security, Software","ClickIPO is a financial services company that specializes in the fields of initial public offerings, securities, software, IPO, and investing. It offers a software platform for issuers, underwriters, and online brokerages to leverage the benefits of broad retail distribution and gain access to a large liquidity pipe of buy and hold retail investors, across multiple online brokerages. The company was founded in 2011 and headquartered in Scottsdale, Arizona.","Scottsdale, Arizona, United States",1-10,Active,8231437,USD,8231437,2473928,USD,2473928,2020-11-25,info@clickipo.com
Graviti,https://www.crunchbase.com/organization/graviti-99ad,Seed,"E-Commerce, Financial Services, FinTech","Graviti offers the products needed the most, financed for months. No credit or debit card, no initial payment, no arrears, and with credit approved immediately. It wants to make sure every family in LATAM is able to buy basic appliances for the home by offering fair and accessible financing to acquire them. The company was founded in 2019 and is based in Mexico.","Mexico City, Distrito Federal, Mexico",11-50,Active,2895197,USD,2895197,2500000,USD,2500000,2021-05-03,info@graviti.mx
Mentum,https://www.crunchbase.com/organization/mentum-9047,Seed,"Developer APIs, Financial Services, FinTech","Mentum is an API for fintech companies that offers investment services. The company is headquartered in San Francisco, California, United States.","San Francisco, California, United States",1-10,Active,4325000,USD,4325000,4200000,USD,4200000,2022-05-09,
Neocova,https://www.crunchbase.com/organization/neocova,Series A,"Analytics, Artificial Intelligence, Banking, Business Intelligence, Finance, Financial Services, FinTech, Information Technology, Software","Neocova provides a purpose-built technology that enables community and regional banks to make sense of core transactional data by identifying additional revenue opportunities from existing customers and matching their specific needs with highly targeted sales and marketing strategies. The company was founded in 2020 and is based in Austin, Texas.","Austin, Texas, United States",1-10,Active,9500000,USD,9500000,9500000,USD,9500000,2020-01-22,hello@neocova.com
Bizbaz,https://www.crunchbase.com/organization/bizbaz,Seed,"Business Intelligence, Credit, Financial Services, FinTech, Predictive Analytics","Bizbaz offers financial intelligence solutions to financial institutions, fintech firms, e-commerce and telecommunication companies in Asia. With teams in Singapore, Israel, Vietnam, Philippines and Malaysia, Bizbaz offers a full suite of financial intelligence solutions, including but not limited to, comprehensive risk assessment, alternative credit scoring, fraud detection, eKYC, financial product aggregation and recommendation systems.","Singapore, Central Region, Singapore",11-50,Active,4300000,USD,4300000,4000000,USD,4000000,2022-09-30,hayk@bizbaz.tech
Kinsu,https://www.crunchbase.com/organization/kinsu-8392,Seed,"Commercial Insurance, FinTech, Health Insurance, Insurance","A new distribution model focused on closing the protection gap, reducing acquisition costs and providing financial inclusion.","Cuauhtémoc, Distrito Federal, Mexico",1-10,Active,2125673,USD,2125673,,,,2023-06-21,matias@kinsu.mx
Lendica,https://www.crunchbase.com/organization/lendica-9415,Seed,"Financial Services, FinTech, Information Technology, Software","Lendica is an embedded finance platform that changes how SMBs access capital. Today, SMBs seeking funding products must rely on inefficient non-bank lenders or expensive captive programs. Our software captures and standardizes SMB profiles (token) - which includes granular banking, accounting, and operations data - to promote instant funding decisions for merchants. We are on a mission to build critical infrastructure to improve market efficiency and empower SMBs to use their data for their benefit.","Boston, Massachusetts, United States",11-50,Active,1500000,USD,1500000,1500000,USD,1500000,2022-03-31,info@golendica.com
Datanomik,https://www.crunchbase.com/organization/datanomik,Seed,"Banking, Developer APIs, Finance, Financial Services, FinTech, Software","Datanomik is an Open Finance B2B Fintech platform that enables easy access to financial data from several financial institutions in Latin America. Through a suite of solutions for all types of companies and other Fintechs, Datanomik is the most complete Open Finance platform in Latin America.","Montevideo, NA - Uruguay, Uruguay",11-50,Active,6000000,USD,6000000,6000000,USD,6000000,2022-03-31,hello@datanomik.com
OpenPath,https://www.crunchbase.com/organization/openpath,Series A,"Analytics, E-Commerce, FinTech, Information Technology, Payments, Software","Acting as a payment orchestration layer and gateway, OpenPath offers an advanced suite of eCommerce tools and integrations to merchants and partners. These solutions include subscription products, multi-processor business logic, intelligent routing, and more.   OpenPath’s consolidated platform sits behind a CRM or eCommerce engine and aggregates, secures, and analyzes payment data, creating deep, actionable insights for its clients. The platform can be used directly by merchants or white-labeled via partners, and clients can seamlessly route to their preferred processor or acquirer on the back-end.  The global payment ecosystem is unlocked through a simple API. -- Partners and Connectivity -- The OpenPath API brings connectivity to the global payment ecosystem. -- Dashboard -- Easy onboarding and account management, fraud and chargeback alerts, daily sales summaries, and transaction history. -- Payment Integrations -- Leading-edge payments features including subscription management, SplitPay, dynamic surcharging, EMV authentication for CNP transactions, and more. -- Business Logic -- Next level extended data, intelligent transaction routing, mid-management alerts, decline salvage, and advanced payment types like ApplePay.","Irvine, California, United States",11-50,Active,8000000,USD,8000000,8000000,USD,8000000,2019-08-31,sales@openpath.io
NovaDAX,https://www.crunchbase.com/organization/novadax,Series A,"Apps, Artificial Intelligence, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, FinTech, Mobile Apps, Trading Platform, Virtual Currency","NovaDAX is one of the top 3 Brazilian exchanges.  We are from the Abakus Group(https://abakus.cn/en/index), which is a global tech company with teams and businesses in the US, China, Southeast Asia, Europe, and Latin America. Abakus group has various businesses of Fintech, AI, robots and blockchain. With the technical support of Abakus Group, NovaDAX can provide a safe, convenient and fast way for customers to trade cryptos. Focus in the South America market, a NovaDAX is the 1st and ONLY exchange in Brazil which has both fiat-crypto and crypto-crypto (USDT/BTC/ ETH) order book, with stop-limit function available. Besides that, a NovaDAX is also the exchange which offers the most cryptos and trading pairs: BTC, ETH, USDT, TRX, XRP, ADA, EOS, LTC, IOTA, DOGE, BTT, BCH, DASH, XLM, LINK and NULS with more than 50 fiat-crypto and crypto-crypto pairs. Our vision is to bring global customers more efficient financial services by building an open financial ecosystem. So we are also preparing the expanding of global market and looking forward to the international cooperations.","São Paulo, Sao Paulo, Brazil",11-50,Active,20000000,USD,20000000,20000000,USD,20000000,2018-05-09,support@novadax.com
AdalFi,https://www.crunchbase.com/organization/adalfi,Seed,"Financial Services, FinTech, Infrastructure, Lending","AdalFi provides digital lending infrastructure services.It identifies, qualifies, engages, activates, and delights lending prospects for our partner banks.","Lahore, Punjab, Pakistan",11-50,Active,7500000,USD,7500000,7500000,USD,7500000,2023-02-16,
MoneyGeek,https://www.crunchbase.com/organization/money-geek,Series A,"Consumer, Credit Cards, FinTech, Insurance, Personal Finance","We're personal finance geeks with decades of combined experience in writing and publishing information about how individuals should manage money and credit. What drives us is the conviction that consumers can make smart money decisions but don't have the time to become a mini-expert in finance. So many sites publish generic information that skims the surface of a financial topic. We think there's a better way. When you're trying to decide if it's a good time to refinance your home loan or whether to pay down your student loans or credit cards first, what you really want is to make a sound decision, fast — and feel confident that it was the right choice. Here's what we offer: Explanations on money topics that go deep enough but don't feel like reading a dry textbook. Step-by-step instructions and checklists. Calculators that actually tell you what's going on with the numbers in plain English. Questions answered by industry experts. We want you to quickly figure out what's best for your financial life, without muss or stress.","San Francisco, California, United States",11-50,Active,2100000,USD,2100000,2100000,USD,2100000,2019-08-07,press@moneygeek.com
Avenews,https://www.crunchbase.com/organization/avenews-gt,Seed,"Agriculture, Banking, Blockchain, Financial Services, FinTech, Information Technology, Insurance, InsurTech, Trading Platform","Avenews is a fintech company connecting two of the largest and most important industries in the world: the financial industry and the agricultural industry. This is done through the Avenews platform that creates a digital infrastructure for trade, business, and financial interactions.","Tel Aviv, Tel Aviv, Israel",11-50,Active,3590000,USD,3590000,3150000,USD,3150000,2021-01-01,office@avenews-gt.com
Tern,https://www.crunchbase.com/organization/tern-commerce,Seed,"FinTech, Information Technology, SaaS","Tern enables brands to launch programs quickly and seamlessly with intuitive custom and white-label web and mobile customer experiences. A suite of back-office tools assists in the management of programs in a safe, secure, and compliant environment.","New York, New York, United States",11-50,Active,1900000,USD,1900000,900000,USD,900000,2022-03-31,joost@ternitup.com
Crediverso,https://www.crunchbase.com/organization/crediverso,Seed,"Finance, Financial Services, FinTech, Marketplace, Mobile Apps","Crediverso is a financial marketplace where people can find credit cards, credit checks, and international money transfers. The platform of the company provides access to financial information and financial products such as credit information, credit cards, loans, money transfer feature, credit scores, and more, thereby enabling the US Latino audience by bridging the cultural gap.","Los Angeles, California, United States",1-10,Active,3100000,USD,3100000,3100000,USD,3100000,2021-06-18,info@crediverso.com
Gyroscope,https://www.crunchbase.com/organization/gyroscope,Seed,"Finance, Financial Services, FinTech",Gyroscope develops an asset-backed stablecoin built on resilient Defi infrastructure. It leverages a diversified reserve and autonomous monetary policy.,"Williamsville, Virginia, United States",1-10,Active,4500000,USD,4500000,4500000,USD,4500000,2023-03-09,legal@gyro.finance.
Any Time Loan,https://www.crunchbase.com/organization/any-time-loan,Series A,"Credit, Finance, Financial Services, FinTech, Lending","At ATL they believe that getting a loan should be as fast, easy and painless as ordering a pizza or I hailing a cab. Any Time Loan's mission is maximising returns for their lenders & minimising cost for their borrowers.","Hyderabad, Andhra Pradesh, India",11-50,Active,6261461,USD,6261461,3920000,USD,3920000,2018-01-02,info@anytimeloan.in
Loved,https://www.crunchbase.com/organization/loved-wealth,Seed,"Apps, Education, Financial Services, FinTech, Payments","Loved is an investing service that starts kids investing early with commission-free, custodial accounts for anyone under-18. With Loved, you can open a custodial account for anyone under-18. Whether you're a parent, grandparent, relative or just a friend, Loved empowers you to give a child a start towards their financial independence. You can get started in two minutes, building a portfolio of stocks and thematic investments, investing as little as $5 at a time. When you're ready, setup a Smart Goal and invest automatically to achieve something important in their future, whether it's college, a first car or a little travel fund to explore the world. Loved is an SEC registered investment advisor based in New York City. Loved is available from Apple's App Store and at www.loved.com.","San Francisco, California, United States",11-50,Active,3000000,USD,3000000,2000000,USD,2000000,2020-06-01,info@loved.com
Finabro,https://www.crunchbase.com/organization/finabro,Seed,"Banking, Finance, Financial Services, FinTech","FINABRO is your consultant for saving & investing!  Proper saving and sensible investing is important for many parts of life. Saving money can be difficult - investing money wisely has become almost impossible. The savings account gives zero interest rates and the different alternative investment forms are risky, intransparent and expensive.  ","Vienna, Wien, Austria",1-10,Active,5600000,EUR,6396157,5000000,EUR,5724576,2022-02-04,office@finabro.com
CURE,https://www.crunchbase.com/organization/cure-23d0,Seed,"Accounting, Banking, Billing, Finance, FinTech, Payments, Procurement",CURE is a vertical neobank that offers integrated banking services to doctors and medical practices. CURE runs an open-banking based business finance management platform for health professionals.,"Berlin, Berlin, Germany",1-10,Active,1400000,EUR,1617469,1400000,EUR,1617468,2021-10-11,info@cure.finance
Audit Sight,https://www.crunchbase.com/organization/audit-sight-inc,Seed,"Accounting, FinTech, SaaS","Audit Sight uses APIs to access the client’s records, eliminating the tedious process of asking for them and waiting for a recordkeeper to compile and send them.","Atlanta, Georgia, United States",1-10,Active,6500000,USD,6500000,4000000,USD,4000000,2022-04-27,
Krystal,https://www.crunchbase.com/organization/krystal-0822,Seed,"Apps, Blockchain, FinTech, Information Technology, Software","Krystal is a multi-chain platform that simplifies and meets all of your DeFi requirements. You may trade and bridge tokens, generate passive income, use cutting-edge portfolio management and market analytics tools, and participate in token sales all from a single platform, KrystalGO.","Singapore, Central Region, Singapore",11-50,Active,6600000,USD,6600000,6600000,USD,6600000,2021-08-04,support@krystal.app
Oobit,https://www.crunchbase.com/organization/oobit,Seed,"Credit Cards, Financial Services, FinTech, Mobile Payments","Oobit is a fast-growing fintech startup that provides “in-store payments with crypto” with an unbelievable ""Apple Pay"" experience, thanks to its cutting-edge payments technology and the magic it does behind the scenes. Oobit has built a robust ecosystem that allows consumers to pay with crypto anytime and anywhere on the existing VISA/MasterCard POS terminals. While consumers pay with crypto, the merchants receive fiat money settlements the very same way as all other credit card payments.","Singapore, Central Region, Singapore",11-50,Active,3000000,USD,3000000,3000000,USD,3000000,2020-12-06,support@oobit.com
beatvest,https://www.crunchbase.com/organization/beatvest,Seed,"Financial Services, FinTech, Personal Finance","beatvest is a platform that offers both educational and financial tools, making it simple to understand investing and finance. By using their platform to learn about investments and financial tools from the ground up, users may become experts at making financial investments.","Munich, Bayern, Germany",1-10,Active,1300000,EUR,1416154,1300000,EUR,1416154,2023-01-26,hello@beatvest.com
Lenda,https://www.crunchbase.com/organization/lenda,Series A,"Finance, Financial Services, FinTech, Real Estate","Lenda is a financial services company that specializes in the fields of home loan, no fee, and cash-out refinancing. It offers an online platform that enables individuals to refinance their home loans online. It was founded in 2011 and headquartered in San Francisco, California.","San Francisco, California, United States",11-50,Closed,10680999,USD,10680999,5250000,USD,5250000,2017-09-11,jason@lenda.com
OWWN,https://www.crunchbase.com/organization/wajve,Seed,"Apps, Banking, Financial Services, FinTech, Mobile","OWWN is a banking app that provides a one-stop shop for young adults to manage their finances. It allows customers to maintain an account with a Visa debit card and make mobile payments, just like a typical bank, but they can also apply for a student loan from Kfw Bank. At the same time, they can create shared savings pools, anonymously compare their budgets with friends, and participate in challenges. Users can use Owwn alone or collectively.","Berlin, Berlin, Germany",11-50,Active,5000000,EUR,6086375,5000000,EUR,6086375,2021-06-10,hello@owwn.com
Bankme,https://www.crunchbase.com/organization/bankme-e0cd,Seed,"Banking, Financial Services, FinTech, Professional Services","Bankme is a financial services company that transforms companies into mini-banks. It is a complete platform where entrepreneurs finance their productive ecosystem, without intermediaries, offering fair and sustainable credit. Bankme offers credit market transformation and provides access to solutions that generate credit, freedom, and business opportunities.","Londrina, Parana, Brazil",11-50,Active,5500000,BRL,1073485,5500000,BRL,1073484,2022-08-30,bankme@oliverpress.com.br
Mistho,https://www.crunchbase.com/organization/mistho,Seed,"Financial Services, FinTech","mistho.io offers the first open payroll API for Europe, that enables consumers to easily access and share their salary and employment information with third parties such as banks, insurance companies, lenders and others at the click of a button.  Our goal is to help businesses build the best consumer experiences in the fintech world that require income information. As a first step, we are now enabling businesses to easily integrate the Mistho app into their existing flow for income verification. Remember the last time you searched for a flat to rent, wanted to lease a car or applied for a loan? At some point during your search you were asked to share your last three months of payslips. You probably had to upload them to a platform or send them via e-mail to your agent. In some cases, you might even have needed to ask your HR department to help you out.  Mistho helps exactly here - by offering a digital, directly embedded income verification tool that asks the end consumer to do no more than log in to their payroll portal.","London, England, United Kingdom",11-50,Active,3000000,USD,3000000,3000000,USD,3000000,2022-02-21,info@mistho.io
Zappyrent,https://www.crunchbase.com/organization/zappyrent,Seed,"FinTech, Marketplace, Real Estate, Rental Property","Zappyrent is a Proptech Startup that facilitates the rental of residential real estate from start to end: search, viewings, monthly payments and much more.  Tenants find their new home with an agent-like experience but saving on agency fees.  Landlords, rent faster and receive the rent money every month, same day, even if the tenant is late or in arrears.  We use technology to make the residential real estate market fast, convenient and certain.  Launched in Italy.","Milan, Lombardia, Italy",11-50,Active,2200000,EUR,2502269,2200000,EUR,2502269,2021-12-31,info@zappyrent.com
SecuredTouch,https://www.crunchbase.com/organization/securedtouch,Series A,"Biometrics, Cyber Security, FinTech, Fraud Detection, Mobile Payments, Risk Management, Software","SecuredTouch is a pioneer in behavioral biometrics for mobile, delivering continuous authentication technologies to strengthen security and reduce fraud while improving customers digital experience. SecuredTouch seamlessly collects and analyzes a dynamic set of over 100 different behavioral parameters like keyboard-typing, scroll-velocity, touch pressure and finger size to automatically create a unique user behavioral profile. Our mobile-optimized solutions require no enrollment, they are easy to implement, and provide real time alerts when suspicious activity is detected from login to logout. Application- and device-based solutions are in use at clients around the world, including major financial institutions.","Palo Alto, California, United States",11-50,Active,11500000,USD,11500000,8000000,USD,8000000,2018-04-23,contact@securedtouch.com
trustshare,https://www.crunchbase.com/organization/trustshare,Seed,"Credit, Financial Services, FinTech, Payments","Trustshare fintech layer for marketplaces across payments, escrow, banking, and credit in a single unified API. It creates secure accounts for buyers, sellers, projects, and even credit providers on the fly. Remove customer funds from the operational accounts in order to comply with PSD2 and DAC-7. Customers can make deposits using bank transfers or credit cards. In the United Kingdom. Trustshare uses open banking regulations in the United States and Europe to allow users to connect to their bank account from the checkout flow. The platform can also handle identity verification procedures like KYC and AML checks (Know Your Customer and Anti-Money Laundering). Buyers can checkout into a dedicated account per transaction on the marketplace once the platform is live. The seller receives the funds and then provides the product or service. When the project is finished and the buyer is satisfied, the buyer releases funds to the seller.","London, England, United Kingdom",1-10,Active,4167385,USD,4167385,2300000,GBP,3167385,2021-09-01,hello@trustshare.co
Devengo,https://www.crunchbase.com/organization/devengo,Seed,"Financial Services, FinTech, Payments","Devengo is a B2B API that helps its clients orchestrate fast and programmable payouts using next-generation payment protocols. Devengo increases customer loyalty by paying them at light speed. With Devengo, clients can also obtain real-time detailed information to manage errors and incidents immediately, as well as retry and re-route failed payments with minimal effort.","Madrid, Madrid, Spain",11-50,Active,2914078,EUR,3213332,1200000,EUR,1250178,2022-11-23,hola@devengo.com
ProfitShare Partners,https://www.crunchbase.com/organization/profitshare-partners,Seed,"Business Development, Finance, Financial Services, FinTech","ProfitShare Partners utilises tech to fast-track SME performance and delivery through its profit-sharing business model. ProfitShare Partners financially partners on transactions with SMEs to deliver successfully on their orders and contracts with reputable organisations, allowing them to access bigger business and grow exponentially in short periods of time.","Johannesburg, NA - South Africa, South Africa",1-10,Active,125000000,ZAR,7580331,100000000,ZAR,5886265,2020-07-02,
Equity Shift,https://www.crunchbase.com/organization/equity-shift,Seed,"Blockchain, Finance, FinTech, Internet, Software","Equity Shift software makes it possible for private companies of any size to effortlessly manage corporate activities with digital efficiency. From signing and retaining legal documents to conducting multi-party securities transactions, our patented workflow automation unlocks enhanced capabilities for operators at all stages of growth. Now any company can setup and execute events that are transparent, compliant, and easily repeatable.","Raleigh, North Carolina, United States",1-10,Active,3400000,USD,3400000,,,,2023-01-11,info@equityshift.com
Pangea,https://www.crunchbase.com/organization/hedgedesk,Seed,"Artificial Intelligence, FinTech, Machine Learning","Pangea is eliminating currency risk with Ai. HQ: San Diego, CA","San Diego, California, United States",11-50,Active,7000000,USD,7000000,,,,2023-01-01,Aeron@pangea.io
PayTic,https://www.crunchbase.com/organization/paytic,Seed,"Compliance, Customer Service, Financial Services, FinTech, Payments, Productivity Tools, SaaS","PayTic enables payments issuers to manage their card programs by providing dedicated back-office solutions that streamline the end-to-end operations in customer support, chargebacks, fraud, AML, reporting, and reconciliation. Our proprietary solutions are unique in automating and centralizing the program management processes, regardless of the number of processors and the payment networks involved in the payments products. We impact payments providers by eliminating the defragmented and manual processes and replacing them with a SaaS platform that increases proactivity, mitigates risks, and delivers value. It reduces the burn rate to near 0 in operational costs and offers an unprecedented competitive advantage. PayTic is introducing the Zero Ops model in managing payments.","Charlottetown, Prince Edward Island, Canada",1-10,Active,2950000,USD,2950000,2950000,USD,2950000,2022-05-04,iboumahdi@pay-tic.com
Cerchia,https://www.crunchbase.com/organization/cerchia,Seed,"Blockchain, FinTech","Cerchia is a fintech company enabling direct transfer of event risk between protection buyers and protection sellers. Cerchia provides automated, sustainable, decentralized, secure, transparent, independent event triggers, instant settlement, scalable, symmetric, Market Priced.","Zug, Zug, Switzerland",1-10,Active,2704479,USD,2704479,1300000,CHF,1404479,2023-01-16,
Union Credit,https://www.crunchbase.com/organization/union-credit-1444,Seed,"Credit, Finance, FinTech, Marketplace",Union Credit is a fintech company that develops an embedded 1-click lending marketplace.,"Santa Rosa, California, United States",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2022-10-24,
Fennech Financial,https://www.crunchbase.com/organization/fennech-financial,Seed,"Financial Services, FinTech","Fennech is a B2B Fintech that provides a new Platform as a Service – The Fennech Financial Framework (F3 ) – to meet the specific needs of Finance Directors, Controllers and Treasurers.They enable their clients to digitalise their finance function & automate the processing of any type of finance operation through the use of Fennech Digital Contracts, and by utilising recent advancements in Machine Learning & AI.","London, England, United Kingdom",1-10,Active,2300000,GBP,2923553,2300000,GBP,2923552,2023-06-26,info@fennech.com
dimply,https://www.crunchbase.com/organization/dimply,Seed,"Financial Services, FinTech, Information Technology, Software","Dimply builds the bridge between large financial businesses and individual customers. Giving the organisation agile infrastructure, powerful intelligence and control, and pathways to meaningful interactions. By providing the customer with smart, personalised, financial experiences. Our mission is to help people think and feel better about money. And in doing so to power a healthier financial future for them, and for the world.","Dublin, Dublin, Ireland",11-50,Active,3145000,EUR,3426455,1000000,EUR,972149,2022-10-15,colm.mcloughlin@dimply.ai
Spendit,https://www.crunchbase.com/organization/spendit-1ad7,Series A,"B2B, Financial Services, FinTech",,"Seoul, Seoul-t'ukpyolsi, South Korea",11-50,Active,5000000000,KRW,4249176,2000000000,KRW,1796993,2021-05-07,info@spendit.kr
Trustate,https://www.crunchbase.com/organization/trustate,Seed,"FinTech, Legal, Legal Tech, Mobile Apps, Software, Wealth Management",Losing a loved one is hard enough. The administrative work that comes along with it shouldn’t be. Trustate is an end-to-end estate administration platform that uses “tech + touch” to help lawyers and wealth managers help their clients quickly and efficiently settle the estate of a deceased loved one.,"New York, New York, United States",1-10,Active,1800000,USD,1800000,1800000,USD,1800000,2021-12-02,info@trustate.com
FINEXITY AG,https://www.crunchbase.com/organization/finexity-ag,Seed,"Blockchain, FinTech, Real Estate Investment","FINEXITY AG was founded in 2018 with the purpose to liberalise the real asset market so that everyone around the globe has the opportunity to flexibly invest in real assets regardless of their budget, know-how and location. Consequently, FINEXITY has built a shopping portal that enables investors to invest in pre-selected assets within 3 minutes starting at 500 Euros, whilst granting them with the opportunity to trade their profit-shares (security-tokens) via our blockchain-based marketplace 24/7. This way, FINEXITY utilises blockchain-technology to raise both accessibility and market liquidity within the real asset market.","Hamburg, Hamburg, Germany",11-50,Active,3430000,EUR,3875651,1300000,EUR,1484187,2020-07-15,service@finexity.com
Lemox,https://www.crunchbase.com/organization/lemox,Series A,"Blockchain, Commercial Real Estate, FinTech, Marketplace, Real Estate Investment","Lemox lets you own a fraction of tokenized real estate with others for as low as $100 per unit. Investors receive rents weekly as dividends and can sell anytime. Our goal is to make real estate investing as simple as investing in stocks or crypto. Diversification is key to any investment strategy, but the barrier to entry for real estate investing has always been so high. We don't believe that should be the case.","Long Beach, California, United States",11-50,Active,8450000,EUR,10116563,6150000,EUR,7305617,2021-09-03,support@lemox.io
TradeCore,https://www.crunchbase.com/organization/tradecore,Seed,"Finance, Financial Exchanges, Financial Services, FinTech","TradeCore is a fintech company. The company provides services for the infrastructure of compliance, regulation, payments, banking, and capital markets.","London, England, United Kingdom",11-50,Active,3000000,USD,3000000,3000000,USD,3000000,2018-01-22,support@tradecore.com
Credy,https://www.crunchbase.com/organization/credy,Seed,"Consumer Lending, Credit, Financial Services, FinTech, Lending","Credy is a full stack lending company for India. Credy offers a mobile credit line with customization for specific end use - such as medical emergency, school fee payments, and debt consolidation.","Bengaluru, Karnataka, India",11-50,Active,1520000,USD,1520000,,,,2019-04-12,founders@credy.in
